Song: agua_de_beber

Position, Duration, Pitch
1.000000, 0.500000, 74
1.500000, 1.000000, 77
2.500000, 1.000000, 81
3.500000, 2.500000, 80
6.000000, 2.000000, 81
8.000000, 2.500000, 77
10.500000, 1.000000, 74
11.500000, 1.000000, 77
12.500000, 3.500000, 74
17.000000, 0.500000, 74
17.500000, 1.000000, 77
18.500000, 1.000000, 81
19.500000, 2.500000, 84
22.000000, 2.000000, 86
24.000000, 2.500000, 81
26.500000, 1.000000, 79
27.500000, 4.500000, 81
33.000000, 0.500000, 74
33.500000, 1.000000, 77
34.500000, 1.000000, 81
35.500000, 2.500000, 80
38.000000, 2.000000, 81
40.000000, 2.500000, 77
42.500000, 1.000000, 74
43.500000, 1.000000, 77
44.500000, 3.500000, 74
50.500000, 1.000000, 77
51.500000, 1.000000, 77
52.500000, 1.000000, 77
53.500000, 1.000000, 77
54.500000, 0.500000, 79
55.000000, 1.000000, 77
56.000000, 1.500000, 76
57.500000, 1.000000, 71
58.500000, 1.000000, 74
59.500000, 1.000000, 77
60.500000, 1.000000, 76
61.500000, 2.500000, 74
65.000000, 0.500000, 74
65.500000, 0.500000, 74
66.000000, 0.500000, 77
66.500000, 0.500000, 81
67.000000, 5.000000, 79
73.000000, 0.500000, 81
73.500000, 0.500000, 79
74.000000, 0.500000, 77
74.500000, 0.500000, 74
75.000000, 1.500000, 77
76.500000, 0.500000, 74
77.000000, 0.500000, 74
77.500000, 2.500000, 74
81.000000, 0.500000, 74
81.500000, 0.500000, 74
82.000000, 0.500000, 77
82.500000, 0.500000, 81
83.000000, 5.000000, 79
89.000000, 0.500000, 81
89.500000, 0.500000, 79
90.000000, 0.500000, 77
90.500000, 0.500000, 74
91.000000, 1.500000, 77
92.500000, 0.500000, 74
93.000000, 0.500000, 74
93.500000, 2.500000, 74
