Song: eu_nao_existo_sem_voce

Position, Duration, Pitch
3.500000, 0.500000, 76
4.000000, 0.500000, 76
4.500000, 0.500000, 74
5.000000, 0.500000, 73
5.500000, 0.500000, 71
6.000000, 0.500000, 73
6.500000, 0.500000, 74
7.000000, 0.500000, 76
7.500000, 0.500000, 78
8.000000, 0.500000, 74
8.500000, 0.500000, 73
9.000000, 0.500000, 71
9.500000, 0.500000, 69
10.000000, 1.000000, 71
11.500000, 0.500000, 78
12.000000, 0.500000, 78
12.500000, 0.500000, 76
13.000000, 0.500000, 74
13.500000, 0.500000, 73
14.000000, 0.500000, 74
14.500000, 0.500000, 76
15.000000, 0.500000, 78
15.500000, 0.500000, 81
16.000000, 0.500000, 76
16.500000, 0.500000, 74
17.000000, 0.500000, 73
17.500000, 0.500000, 74
18.000000, 1.000000, 76
19.500000, 0.500000, 81
20.000000, 0.500000, 81
20.500000, 0.500000, 80
21.000000, 0.500000, 78
21.500000, 0.500000, 77
22.000000, 0.500000, 78
22.500000, 0.500000, 80
23.000000, 0.500000, 81
23.500000, 0.500000, 83
24.000000, 0.500000, 80
24.500000, 0.500000, 78
25.000000, 0.500000, 76
25.500000, 0.500000, 78
26.000000, 0.500000, 80
26.500000, 0.500000, 80
27.500000, 0.500000, 81
28.000000, 0.500000, 78
28.500000, 0.500000, 76
29.000000, 0.500000, 74
29.500000, 0.500000, 73
30.000000, 0.500000, 74
30.500000, 0.500000, 76
31.000000, 0.500000, 78
31.500000, 0.500000, 81
32.000000, 0.500000, 76
32.500000, 0.500000, 74
33.000000, 0.500000, 73
33.500000, 0.500000, 74
34.000000, 0.500000, 76
34.500000, 0.500000, 76
35.500000, 0.500000, 78
36.000000, 0.500000, 74
36.500000, 0.500000, 73
37.000000, 0.500000, 71
37.500000, 0.500000, 73
38.000000, 0.500000, 74
38.500000, 0.500000, 73
39.000000, 0.500000, 74
39.500000, 0.500000, 76
40.000000, 0.500000, 73
40.500000, 0.500000, 71
41.000000, 0.500000, 69
41.500000, 0.500000, 71
42.000000, 1.000000, 73
43.500000, 0.500000, 74
44.000000, 0.500000, 71
44.500000, 0.500000, 69
45.000000, 0.500000, 68
45.500000, 0.500000, 69
46.000000, 0.500000, 71
46.500000, 0.500000, 70
47.000000, 0.500000, 71
47.500000, 0.500000, 73
48.000000, 0.500000, 71
48.500000, 0.500000, 69
49.000000, 0.500000, 69
49.500000, 0.500000, 68
50.000000, 1.000000, 69
