Song: insensatez

Position, Duration, Pitch
0.000000, 5.000000, 78
5.000000, 0.500000, 79
5.500000, 1.000000, 78
6.500000, 1.000000, 79
7.500000, 5.500000, 78
13.000000, 0.500000, 79
13.500000, 1.000000, 78
14.500000, 1.000000, 79
15.500000, 3.000000, 78
18.500000, 1.000000, 77
19.500000, 0.500000, 78
20.000000, 0.500000, 81
20.500000, 1.000000, 80
21.500000, 1.000000, 79
22.500000, 1.000000, 78
23.500000, 2.000000, 78
25.500000, 2.500000, 76
32.000000, 5.000000, 76
37.000000, 0.500000, 78
37.500000, 1.000000, 76
38.500000, 1.000000, 78
39.500000, 5.500000, 76
45.000000, 0.500000, 78
45.500000, 1.000000, 76
46.500000, 1.000000, 78
47.500000, 3.000000, 76
50.500000, 1.000000, 75
51.500000, 0.500000, 76
52.000000, 0.500000, 79
52.500000, 1.000000, 78
53.500000, 1.000000, 77
54.500000, 1.000000, 76
55.500000, 2.000000, 76
57.500000, 2.500000, 74
64.000000, 5.000000, 74
69.000000, 0.500000, 76
69.500000, 1.000000, 74
70.500000, 1.000000, 76
71.500000, 5.500000, 74
77.000000, 0.500000, 76
77.500000, 1.000000, 74
78.500000, 1.000000, 76
79.500000, 3.500000, 78
83.000000, 1.000000, 74
84.000000, 1.000000, 71
85.000000, 0.500000, 73
85.500000, 1.000000, 71
86.500000, 1.000000, 73
87.500000, 4.500000, 74
96.000000, 5.000000, 74
101.000000, 0.500000, 76
101.500000, 1.000000, 74
102.500000, 1.000000, 76
103.500000, 5.500000, 73
109.000000, 0.500000, 74
109.500000, 1.000000, 73
110.500000, 1.000000, 74
111.500000, 3.000000, 73
114.500000, 1.000000, 72
115.500000, 0.500000, 73
116.000000, 0.500000, 76
116.500000, 1.000000, 75
117.500000, 1.000000, 74
118.500000, 1.000000, 73
119.500000, 2.000000, 73
121.500000, 2.500000, 71
