Song: sabia

Position, Duration, Pitch
6.500000, 0.500000, 62
7.000000, 0.500000, 62
7.500000, 4.500000, 62
12.500000, 0.500000, 61
13.000000, 0.500000, 62
13.500000, 1.000000, 64
14.500000, 7.500000, 61
22.500000, 0.500000, 59
23.000000, 0.500000, 59
23.500000, 4.500000, 59
28.500000, 0.500000, 58
29.000000, 0.500000, 59
29.500000, 1.000000, 61
30.500000, 1.000000, 67
31.500000, 4.500000, 66
36.000000, 4.000000, 66
40.000000, 4.500000, 66
44.500000, 0.500000, 64
45.000000, 0.500000, 66
45.500000, 1.000000, 67
46.500000, 1.000000, 64
47.500000, 8.500000, 66
58.500000, 1.000000, 64
59.500000, 0.500000, 66
60.000000, 2.500000, 67
62.500000, 1.000000, 64
63.500000, 4.500000, 62
68.000000, 3.500000, 62
71.500000, 4.500000, 62
76.500000, 0.500000, 61
77.000000, 0.500000, 62
77.500000, 1.000000, 64
78.500000, 1.000000, 61
79.500000, 4.500000, 59
84.000000, 3.500000, 59
87.500000, 5.000000, 59
92.500000, 0.500000, 58
93.000000, 0.500000, 59
93.500000, 1.000000, 61
94.500000, 1.000000, 58
95.500000, 4.500000, 59
102.500000, 0.500000, 62
103.000000, 0.500000, 62
103.500000, 4.500000, 62
108.666667, 0.666667, 61
109.333333, 0.666667, 62
110.000000, 1.000000, 64
111.000000, 5.000000, 61
118.500000, 0.500000, 65
119.000000, 0.500000, 65
119.500000, 4.500000, 65
124.500000, 0.500000, 64
125.000000, 0.500000, 65
125.500000, 1.000000, 67
126.500000, 1.000000, 64
127.500000, 1.166667, 68
128.666667, 0.666667, 67
129.333333, 0.666667, 68
130.000000, 0.500000, 67
130.500000, 1.000000, 65
131.500000, 1.166667, 67
132.666667, 0.666667, 57
133.333333, 0.666667, 58
134.000000, 0.500000, 59
134.500000, 1.000000, 65
135.500000, 4.500000, 63
142.000000, 0.666667, 62
142.666667, 0.666667, 63
143.333333, 0.666667, 62
144.000000, 4.000000, 63
150.000000, 0.666667, 60
150.666667, 0.666667, 61
151.333333, 0.666667, 60
152.000000, 4.000000, 61
158.000000, 0.666667, 60
158.666667, 0.666667, 61
159.333333, 0.666667, 60
160.000000, 2.500000, 61
162.500000, 1.000000, 65
163.500000, 1.000000, 63
164.500000, 1.000000, 68
165.500000, 1.000000, 67
166.500000, 1.000000, 70
167.500000, 4.500000, 68
172.000000, 3.500000, 68
175.500000, 2.500000, 68
178.000000, 1.000000, 66
179.000000, 1.000000, 68
180.000000, 2.500000, 66
182.500000, 1.000000, 65
183.500000, 2.500000, 66
186.000000, 1.000000, 64
187.000000, 1.000000, 66
188.000000, 2.000000, 64
190.000000, 2.000000, 63
192.000000, 6.500000, 64
198.500000, 1.000000, 62
199.500000, 4.500000, 62
204.000000, 8.000000, 61
214.000000, 0.500000, 62
214.500000, 1.000000, 62
215.500000, 4.500000, 62
220.666667, 0.666667, 61
221.333333, 0.666667, 62
222.000000, 1.000000, 64
223.000000, 5.000000, 61
230.000000, 0.500000, 65
230.500000, 1.000000, 65
231.500000, 4.500000, 65
236.500000, 0.500000, 64
237.000000, 0.500000, 65
237.500000, 1.000000, 67
238.500000, 1.000000, 64
239.500000, 2.500000, 69
242.000000, 1.000000, 69
243.000000, 1.000000, 69
244.000000, 2.666667, 72
246.666667, 0.666667, 69
247.333333, 0.666667, 67
248.000000, 2.500000, 69
250.500000, 0.500000, 65
251.000000, 0.500000, 62
251.500000, 3.000000, 65
254.500000, 1.000000, 65
255.500000, 3.166667, 65
258.666667, 0.666667, 65
259.333333, 0.666667, 69
260.000000, 2.500000, 65
262.500000, 1.000000, 62
263.500000, 3.166667, 65
266.666667, 0.666667, 62
267.333333, 0.666667, 58
268.000000, 2.500000, 62
270.500000, 1.000000, 62
271.500000, 3.166667, 62
274.666667, 0.666667, 62
275.333333, 0.666667, 58
276.000000, 2.500000, 65
278.500000, 1.000000, 65
279.500000, 3.166667, 65
282.666667, 0.666667, 62
283.333333, 0.666667, 58
284.000000, 2.666667, 62
286.666667, 0.666667, 62
287.333333, 3.333333, 62
290.666667, 0.666667, 62
291.333333, 0.666667, 58
292.000000, 2.500000, 65
294.500000, 1.000000, 65
295.500000, 3.166667, 65
298.666667, 0.666667, 62
299.333333, 0.666667, 58
300.000000, 2.500000, 62
302.500000, 1.000000, 62
303.500000, 8.500000, 62
