Song: so_danco_samba

Position, Duration, Pitch
0.500000, 0.500000, 67
1.000000, 1.000000, 69
2.000000, 0.500000, 69
2.500000, 1.000000, 69
3.500000, 0.500000, 67
4.000000, 1.000000, 69
5.000000, 0.500000, 69
5.500000, 1.000000, 69
8.666667, 0.666667, 76
9.333333, 0.666667, 75
10.000000, 0.666667, 74
10.666667, 0.666667, 71
11.333333, 1.666667, 69
16.500000, 0.500000, 67
17.000000, 1.000000, 69
18.000000, 0.500000, 69
18.500000, 1.000000, 69
19.500000, 0.500000, 67
20.000000, 1.000000, 69
21.000000, 0.500000, 69
21.500000, 1.000000, 69
23.000000, 5.000000, 72
32.500000, 0.500000, 67
33.000000, 1.000000, 69
34.000000, 0.500000, 69
34.500000, 1.000000, 69
35.500000, 0.500000, 67
36.000000, 1.000000, 69
37.000000, 0.500000, 69
37.500000, 1.000000, 69
40.666667, 0.666667, 76
41.333333, 0.666667, 75
42.000000, 0.666667, 74
42.666667, 0.666667, 71
43.333333, 1.666667, 69
48.500000, 0.500000, 67
49.000000, 1.000000, 69
50.000000, 0.500000, 69
50.500000, 1.000000, 69
51.500000, 0.500000, 67
52.000000, 1.000000, 69
53.000000, 0.500000, 69
53.500000, 1.000000, 69
55.000000, 5.000000, 72
64.000000, 0.500000, 74
64.500000, 1.000000, 74
65.500000, 1.000000, 74
66.500000, 1.000000, 74
67.500000, 1.000000, 81
68.500000, 1.000000, 81
69.500000, 1.000000, 80
70.500000, 1.000000, 76
71.500000, 6.500000, 74
80.000000, 0.500000, 76
80.500000, 1.000000, 76
81.500000, 2.500000, 76
84.000000, 0.500000, 83
84.500000, 1.000000, 82
85.500000, 1.500000, 81
87.000000, 0.500000, 74
87.500000, 0.500000, 76
88.000000, 0.500000, 79
88.500000, 1.000000, 79
89.500000, 0.500000, 79
90.000000, 0.500000, 77
90.500000, 1.000000, 76
91.500000, 1.000000, 74
