Song: chega_de_saudade

Position, Duration, Pitch
0.000000, 2.000000, 89
2.000000, 2.000000, 81
4.000000, 2.500000, 86
6.500000, 1.000000, 89
7.500000, 2.500000, 88
10.000000, 2.000000, 83
12.000000, 2.500000, 86
14.500000, 1.000000, 88
15.500000, 2.500000, 89
18.000000, 2.000000, 82
20.000000, 1.750000, 85
22.500000, 1.000000, 89
23.500000, 1.000000, 88
24.500000, 1.000000, 86
25.500000, 1.166667, 89
26.666667, 0.666667, 88
27.333333, 0.666667, 86
28.000000, 4.000000, 81
32.000000, 2.000000, 89
34.000000, 2.000000, 81
36.000000, 2.500000, 83
38.500000, 1.000000, 86
39.500000, 2.000000, 84
41.500000, 2.250000, 88
45.000000, 0.500000, 88
45.500000, 1.000000, 86
46.500000, 1.000000, 84
47.500000, 2.000000, 84
49.500000, 2.250000, 82
53.000000, 0.500000, 89
53.500000, 1.000000, 88
54.500000, 1.000000, 86
55.500000, 1.000000, 86
56.500000, 1.000000, 85
57.500000, 1.000000, 88
58.500000, 1.000000, 85
59.500000, 4.500000, 82
64.000000, 2.000000, 89
66.000000, 2.000000, 81
68.000000, 2.500000, 86
70.500000, 1.000000, 89
71.500000, 2.500000, 88
74.000000, 2.000000, 83
76.000000, 2.500000, 86
78.500000, 1.000000, 88
79.500000, 2.500000, 89
82.000000, 2.000000, 82
84.000000, 1.750000, 85
86.500000, 1.000000, 89
87.500000, 1.000000, 88
88.500000, 1.000000, 86
89.500000, 0.500000, 85
90.000000, 1.000000, 86
91.000000, 2.000000, 87
93.000000, 0.500000, 84
93.500000, 1.000000, 90
94.500000, 1.000000, 93
95.500000, 2.000000, 91
97.500000, 2.000000, 94
99.500000, 3.000000, 85
102.500000, 1.000000, 93
103.500000, 1.000000, 91
104.500000, 1.000000, 89
105.500000, 1.000000, 93
106.500000, 1.000000, 89
107.500000, 0.500000, 86
108.000000, 0.500000, 88
108.500000, 1.000000, 84
109.500000, 1.000000, 81
110.500000, 1.000000, 88
111.500000, 1.000000, 89
112.500000, 1.000000, 86
113.500000, 1.000000, 83
114.500000, 1.000000, 88
115.500000, 1.000000, 89
116.500000, 1.000000, 85
117.500000, 1.000000, 82
118.500000, 1.000000, 89
119.500000, 4.250000, 86
128.000000, 4.000000, 90
132.000000, 1.500000, 93
133.500000, 1.000000, 91
134.500000, 1.000000, 87
135.500000, 2.500000, 90
138.000000, 0.500000, 88
138.500000, 1.000000, 87
139.500000, 0.500000, 88
140.000000, 1.000000, 95
141.000000, 0.500000, 91
141.500000, 1.000000, 88
142.500000, 1.000000, 83
143.500000, 2.000000, 86
145.500000, 2.250000, 85
149.000000, 0.500000, 88
149.500000, 1.000000, 85
150.500000, 1.000000, 81
151.500000, 4.000000, 83
155.500000, 2.250000, 81
158.500000, 1.000000, 85
159.500000, 1.000000, 88
160.500000, 1.000000, 86
161.500000, 1.000000, 85
162.500000, 1.000000, 86
163.500000, 1.000000, 89
164.500000, 1.000000, 92
165.500000, 1.000000, 97
166.500000, 1.000000, 95
167.500000, 1.000000, 93
168.500000, 1.000000, 91
169.500000, 2.250000, 83
173.000000, 0.500000, 83
173.500000, 1.000000, 85
174.500000, 1.000000, 86
175.500000, 1.000000, 90
176.500000, 1.000000, 88
177.500000, 1.000000, 86
178.500000, 1.000000, 83
179.500000, 1.500000, 80
181.000000, 0.500000, 83
181.500000, 1.000000, 85
182.500000, 1.000000, 88
183.500000, 4.500000, 86
188.000000, 4.000000, 85
192.000000, 2.000000, 90
194.000000, 2.000000, 81
196.000000, 2.500000, 83
198.500000, 1.000000, 90
199.500000, 2.500000, 88
202.000000, 2.000000, 83
204.000000, 2.500000, 86
206.500000, 1.000000, 88
207.500000, 2.500000, 90
210.000000, 2.000000, 82
212.000000, 1.750000, 85
214.500000, 1.000000, 90
215.500000, 1.000000, 88
216.500000, 1.000000, 86
217.500000, 1.000000, 85
218.500000, 1.000000, 86
219.500000, 1.000000, 88
220.500000, 1.000000, 86
221.500000, 1.000000, 90
222.500000, 1.000000, 95
223.500000, 1.000000, 93
224.500000, 1.000000, 90
225.500000, 1.000000, 86
226.500000, 1.000000, 83
227.500000, 1.000000, 93
228.500000, 1.000000, 89
229.500000, 1.000000, 86
230.500000, 1.000000, 82
231.500000, 1.000000, 93
232.500000, 1.000000, 88
233.500000, 1.500000, 85
235.000000, 1.000000, 81
236.000000, 1.000000, 92
237.000000, 0.500000, 95
237.500000, 1.000000, 91
238.500000, 1.000000, 95
239.500000, 1.000000, 90
240.500000, 1.000000, 86
241.500000, 0.500000, 83
242.000000, 1.000000, 86
243.000000, 2.000000, 90
245.000000, 0.500000, 86
245.500000, 1.000000, 83
246.500000, 1.000000, 86
247.500000, 2.250000, 90
250.500000, 0.500000, 90
251.000000, 0.500000, 91
251.500000, 0.500000, 93
252.000000, 1.000000, 95
253.000000, 0.500000, 93
253.500000, 1.000000, 91
254.500000, 1.000000, 90
255.500000, 1.000000, 86
256.500000, 1.000000, 83
257.500000, 0.500000, 86
258.000000, 1.000000, 90
259.000000, 2.000000, 86
261.000000, 0.500000, 83
261.500000, 1.000000, 86
262.500000, 1.000000, 90
263.500000, 2.250000, 86
266.500000, 0.500000, 90
267.000000, 0.500000, 91
267.500000, 0.500000, 93
268.000000, 0.500000, 95
268.500000, 1.000000, 93
269.500000, 1.000000, 91
270.500000, 1.000000, 90
271.500000, 1.000000, 86
272.500000, 1.000000, 83
273.500000, 1.000000, 86
274.500000, 1.000000, 90
275.500000, 1.500000, 86
277.000000, 0.500000, 83
277.500000, 1.000000, 86
278.500000, 1.000000, 90
