Song: esse_seu_olhar

Position, Duration, Pitch
0.000000, 1.000000, 69
1.000000, 0.500000, 70
1.500000, 1.000000, 72
2.500000, 1.000000, 74
3.500000, 4.500000, 72
8.000000, 1.000000, 70
9.000000, 0.500000, 72
9.500000, 1.000000, 74
10.500000, 1.000000, 76
11.500000, 4.500000, 74
16.000000, 1.000000, 72
17.000000, 0.500000, 74
17.500000, 1.000000, 76
18.500000, 1.000000, 77
19.500000, 1.000000, 76
20.500000, 1.000000, 77
21.500000, 1.000000, 79
22.500000, 1.000000, 81
23.500000, 2.500000, 79
26.000000, 0.666667, 77
26.666667, 0.666667, 79
27.333333, 0.666667, 81
28.000000, 4.000000, 79
32.000000, 2.500000, 79
34.500000, 1.000000, 77
35.500000, 0.500000, 76
36.000000, 2.500000, 77
38.500000, 1.000000, 76
39.500000, 0.500000, 74
40.000000, 2.500000, 77
42.500000, 1.000000, 76
43.500000, 0.500000, 74
44.000000, 4.000000, 76
48.000000, 2.500000, 76
50.500000, 1.000000, 74
51.500000, 0.500000, 72
52.000000, 2.500000, 74
54.500000, 1.000000, 68
55.500000, 0.500000, 69
56.000000, 2.500000, 74
58.500000, 1.000000, 72
59.500000, 0.500000, 74
60.000000, 4.000000, 72
64.000000, 1.000000, 69
65.000000, 0.500000, 70
65.500000, 1.000000, 72
66.500000, 1.000000, 74
67.500000, 4.500000, 72
72.000000, 1.000000, 70
73.000000, 0.500000, 72
73.500000, 1.000000, 74
74.500000, 1.000000, 76
75.500000, 4.500000, 74
80.000000, 1.000000, 72
81.000000, 0.500000, 74
81.500000, 1.000000, 76
82.500000, 1.000000, 77
83.500000, 1.000000, 76
84.500000, 1.000000, 77
85.500000, 1.000000, 79
86.500000, 1.000000, 81
87.500000, 2.500000, 79
90.000000, 0.666667, 77
90.666667, 0.666667, 79
91.333333, 0.666667, 81
92.000000, 4.000000, 79
96.000000, 2.500000, 79
98.500000, 1.000000, 77
99.500000, 0.500000, 76
100.000000, 2.500000, 77
102.500000, 1.000000, 76
103.500000, 0.500000, 74
104.000000, 4.000000, 72
110.500000, 1.000000, 73
111.500000, 0.500000, 74
112.000000, 1.500000, 79
113.500000, 5.000000, 79
118.500000, 1.000000, 81
119.500000, 1.500000, 79
121.000000, 7.000000, 77
